2020-01-24 11:12:23,464 -not-actor-/PID:1 esrally.rally INFO OS [uname_result(system='Linux', node='54b9e5afceb2', release='5.3.0-26-generic', version='#28-Ubuntu SMP Wed Dec 18 05:37:46 UTC 2019', machine='x86_64', processor='')]
2020-01-24 11:12:23,464 -not-actor-/PID:1 esrally.rally INFO Python [namespace(_multiarch='x86_64-linux-gnu', cache_tag='cpython-37', hexversion=50791408, name='cpython', version=sys.version_info(major=3, minor=7, micro=3, releaselevel='final', serial=0))]
2020-01-24 11:12:23,465 -not-actor-/PID:1 esrally.rally INFO Rally version [1.4.0]
2020-01-24 11:12:23,465 -not-actor-/PID:1 esrally.utils.net INFO Connecting directly to the Internet (no proxy support).
2020-01-24 11:12:23,919 -not-actor-/PID:1 esrally.rally INFO Detected a working Internet connection.
2020-01-24 11:12:23,921 -not-actor-/PID:1 esrally.rally INFO Actor system already running locally? [False]
2020-01-24 11:12:23,921 -not-actor-/PID:1 esrally.actor INFO Starting actor system with system base [multiprocTCPBase] and capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900'}].
2020-01-24 11:12:23,964 -not-actor-/PID:10 root INFO ++++ Actor System gen (3, 9) started, admin @ ActorAddr-(T|:1900)
2020-01-24 11:12:25,680 ActorAddr-(T|:45103)/PID:12 esrally.utils.process INFO Cloning into '/rally/.rally/benchmarks/tracks/default'...

2020-01-24 11:12:25,691 ActorAddr-(T|:45103)/PID:12 esrally.utils.repo INFO Checking out [7] in [/rally/.rally/benchmarks/tracks/default] for distribution version [7.5.1].
2020-01-24 11:12:25,711 ActorAddr-(T|:45103)/PID:12 esrally.utils.process INFO Switched to a new branch '7'
Branch 7 set up to track remote branch 7 from origin.

2020-01-24 11:12:25,712 ActorAddr-(T|:45103)/PID:12 esrally.utils.repo INFO Rebasing on [7] in [/rally/.rally/benchmarks/tracks/default] for distribution version [7.5.1].
2020-01-24 11:12:25,885 ActorAddr-(T|:44339)/PID:76 esrally.actor INFO Received signal from race control to start engine.
2020-01-24 11:12:25,735 ActorAddr-(T|:45103)/PID:12 esrally.utils.process INFO Already on '7'
Your branch is up-to-date with 'origin/7'.

2020-01-24 11:12:25,885 ActorAddr-(T|:44339)/PID:76 esrally.actor INFO Cluster will not be provisioned by Rally.
2020-01-24 11:12:25,806 ActorAddr-(T|:45103)/PID:12 esrally.utils.process INFO Current branch 7 is up to date.

2020-01-24 11:12:25,818 ActorAddr-(T|:45103)/PID:12 esrally.track.loader INFO Reading track specification file [/rally/.rally/benchmarks/tracks/default/percolator/track.json].
2020-01-24 11:12:25,860 ActorAddr-(T|:45103)/PID:12 esrally.track.loader INFO Final rendered track for '/rally/.rally/benchmarks/tracks/default/percolator/track.json' has been written to '/tmp/tmpprqri16m.json'.
2020-01-24 11:12:25,868 ActorAddr-(T|:45103)/PID:12 esrally.track.loader INFO Loading template [definition for index queries in index.json].
2020-01-24 11:12:25,873 ActorAddr-(T|:45103)/PID:12 esrally.metrics INFO Creating in-memory metrics store
2020-01-24 11:12:25,874 ActorAddr-(T|:45103)/PID:12 esrally.metrics INFO Opening metrics store for race timestamp=[20200124T111223Z], track=[percolator], challenge=[append-no-conflicts], car=[['external']]
2020-01-24 11:12:25,874 ActorAddr-(T|:45103)/PID:12 esrally.metrics INFO Creating file race store
2020-01-24 11:12:25,874 ActorAddr-(T|:45103)/PID:12 esrally.actor INFO Asking mechanic to start the engine.
2020-01-24 11:12:25,874 ActorAddr-(T|:45103)/PID:12 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:25,886 ActorAddr-(T|:45103)/PID:12 esrally.actor INFO Mechanic has started engine successfully.
2020-01-24 11:12:25,887 ActorAddr-(T|:45103)/PID:12 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:25,888 ActorAddr-(T|:45103)/PID:12 esrally.actor INFO Telling driver to prepare for benchmarking.
2020-01-24 11:12:25,895 ActorAddr-(T|:38849)/PID:77 esrally.metrics INFO Creating in-memory metrics store
2020-01-24 11:12:25,896 ActorAddr-(T|:38849)/PID:77 esrally.metrics INFO Opening metrics store for race timestamp=[20200124T111223Z], track=[percolator], challenge=[append-no-conflicts], car=[['external']]
2020-01-24 11:12:25,897 ActorAddr-(T|:38849)/PID:77 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60, 'retry-on-timeout': True}]
2020-01-24 11:12:25,897 ActorAddr-(T|:38849)/PID:77 esrally.client INFO SSL support: off
2020-01-24 11:12:25,897 ActorAddr-(T|:38849)/PID:77 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:25,897 ActorAddr-(T|:38849)/PID:77 esrally.client INFO HTTP compression: off
2020-01-24 11:12:25,898 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Checking if REST API is available.
2020-01-24 11:12:25,902 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO REST API is available.
2020-01-24 11:12:25,945 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:25,954 ActorAddr-(T|:45955)/PID:78 esrally.actor INFO Preparing track [percolator]
2020-01-24 11:12:25,955 ActorAddr-(T|:45955)/PID:78 esrally.track.loader INFO Resolved data root directory for document corpus [percolator] in track [percolator] to ['/rally/.rally/benchmarks/data/percolator'].
2020-01-24 11:12:25,955 ActorAddr-(T|:45955)/PID:78 esrally.track.loader INFO Downloading data from [http://benchmarks.elasticsearch.org.s3.amazonaws.com/corpora/percolator/queries-2.json.bz2] (0 MB) to [/rally/.rally/benchmarks/data/percolator/queries-2.json.bz2].
2020-01-24 11:12:29,281 ActorAddr-(T|:45103)/PID:12 esrally.actor INFO Telling driver to start benchmark.
2020-01-24 11:12:26,572 ActorAddr-(T|:45955)/PID:78 esrally.track.loader INFO Downloaded data from [http://benchmarks.elasticsearch.org.s3.amazonaws.com/corpora/percolator/queries-2.json.bz2] to [/rally/.rally/benchmarks/data/percolator/queries-2.json.bz2].
2020-01-24 11:12:29,281 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO A track preparator has exited.
2020-01-24 11:12:26,573 ActorAddr-(T|:45955)/PID:78 esrally.track.loader INFO Decompressing track data from [/rally/.rally/benchmarks/data/percolator/queries-2.json.bz2] to [/rally/.rally/benchmarks/data/percolator/queries-2.json] (resulting size: 0.10 GB) ... 
2020-01-24 11:12:29,283 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Benchmark is about to start.
2020-01-24 11:12:29,283 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Attaching cluster-level telemetry devices.
2020-01-24 11:12:29,417 ActorAddr-(T|:38849)/PID:77 esrally.telemetry INFO JvmStatsSummary on benchmark start
2020-01-24 11:12:29,452 ActorAddr-(T|:38849)/PID:77 esrally.telemetry WARNING Could not determine value at path [merges,total_time_in_millis]. Returning default value [None]
2020-01-24 11:12:29,452 ActorAddr-(T|:38849)/PID:77 esrally.telemetry WARNING Could not determine value at path [merges,total_throttled_time_in_millis]. Returning default value [None]
2020-01-24 11:12:29,452 ActorAddr-(T|:38849)/PID:77 esrally.telemetry WARNING Could not determine value at path [indexing,index_time_in_millis]. Returning default value [None]
2020-01-24 11:12:29,452 ActorAddr-(T|:38849)/PID:77 esrally.telemetry WARNING Could not determine value at path [indexing,throttle_time_in_millis]. Returning default value [None]
2020-01-24 11:12:29,453 ActorAddr-(T|:38849)/PID:77 esrally.telemetry WARNING Could not determine value at path [refresh,total_time_in_millis]. Returning default value [None]
2020-01-24 11:12:29,453 ActorAddr-(T|:38849)/PID:77 esrally.telemetry WARNING Could not determine value at path [flush,total_time_in_millis]. Returning default value [None]
2020-01-24 11:12:29,453 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Cluster-level telemetry devices are now attached.
2020-01-24 11:12:29,454 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Benchmark consists of [15] steps executed by (at most) [8] clients as specified by the allocation matrix:
[[JoinPoint(0), TaskAllocation [0/1] for delete-index, JoinPoint(1), TaskAllocation [0/1] for create-index, JoinPoint(2), TaskAllocation [0/1] for check-cluster-health, JoinPoint(3), TaskAllocation [0/8] for index, JoinPoint(4), TaskAllocation [0/1] for refresh-after-index, JoinPoint(5), TaskAllocation [0/1] for force-merge, JoinPoint(6), TaskAllocation [0/1] for refresh-after-force-merge, JoinPoint(7), TaskAllocation [0/1] for percolator_with_content_president_bush, JoinPoint(8), TaskAllocation [0/1] for percolator_with_content_saddam_hussein, JoinPoint(9), TaskAllocation [0/1] for percolator_with_content_hurricane_katrina, JoinPoint(10), TaskAllocation [0/1] for percolator_with_content_google, JoinPoint(11), TaskAllocation [0/1] for percolator_no_score_with_content_google, JoinPoint(12), TaskAllocation [0/1] for percolator_with_highlighting, JoinPoint(13), TaskAllocation [0/1] for percolator_with_content_ignore_me, JoinPoint(14), TaskAllocation [0/1] for percolator_no_score_with_content_ignore_me, JoinPoint(15)], [JoinPoint(0), None, JoinPoint(1), None, JoinPoint(2), None, JoinPoint(3), TaskAllocation [1/8] for index, JoinPoint(4), None, JoinPoint(5), None, JoinPoint(6), None, JoinPoint(7), None, JoinPoint(8), None, JoinPoint(9), None, JoinPoint(10), None, JoinPoint(11), None, JoinPoint(12), None, JoinPoint(13), None, JoinPoint(14), None, JoinPoint(15)], [JoinPoint(0), None, JoinPoint(1), None, JoinPoint(2), None, JoinPoint(3), TaskAllocation [2/8] for index, JoinPoint(4), None, JoinPoint(5), None, JoinPoint(6), None, JoinPoint(7), None, JoinPoint(8), None, JoinPoint(9), None, JoinPoint(10), None, JoinPoint(11), None, JoinPoint(12), None, JoinPoint(13), None, JoinPoint(14), None, JoinPoint(15)], [JoinPoint(0), None, JoinPoint(1), None, JoinPoint(2), None, JoinPoint(3), TaskAllocation [3/8] for index, JoinPoint(4), None, JoinPoint(5), None, JoinPoint(6), None, JoinPoint(7), None, JoinPoint(8), None, JoinPoint(9), None, JoinPoint(10), None, JoinPoint(11), None, JoinPoint(12), None, JoinPoint(13), None, JoinPoint(14), None, JoinPoint(15)], [JoinPoint(0), None, JoinPoint(1), None, JoinPoint(2), None, JoinPoint(3), TaskAllocation [4/8] for index, JoinPoint(4), None, JoinPoint(5), None, JoinPoint(6), None, JoinPoint(7), None, JoinPoint(8), None, JoinPoint(9), None, JoinPoint(10), None, JoinPoint(11), None, JoinPoint(12), None, JoinPoint(13), None, JoinPoint(14), None, JoinPoint(15)], [JoinPoint(0), None, JoinPoint(1), None, JoinPoint(2), None, JoinPoint(3), TaskAllocation [5/8] for index, JoinPoint(4), None, JoinPoint(5), None, JoinPoint(6), None, JoinPoint(7), None, JoinPoint(8), None, JoinPoint(9), None, JoinPoint(10), None, JoinPoint(11), None, JoinPoint(12), None, JoinPoint(13), None, JoinPoint(14), None, JoinPoint(15)], [JoinPoint(0), None, JoinPoint(1), None, JoinPoint(2), None, JoinPoint(3), TaskAllocation [6/8] for index, JoinPoint(4), None, JoinPoint(5), None, JoinPoint(6), None, JoinPoint(7), None, JoinPoint(8), None, JoinPoint(9), None, JoinPoint(10), None, JoinPoint(11), None, JoinPoint(12), None, JoinPoint(13), None, JoinPoint(14), None, JoinPoint(15)], [JoinPoint(0), None, JoinPoint(1), None, JoinPoint(2), None, JoinPoint(3), TaskAllocation [7/8] for index, JoinPoint(4), None, JoinPoint(5), None, JoinPoint(6), None, JoinPoint(7), None, JoinPoint(8), None, JoinPoint(9), None, JoinPoint(10), None, JoinPoint(11), None, JoinPoint(12), None, JoinPoint(13), None, JoinPoint(14), None, JoinPoint(15)]]
2020-01-24 11:12:29,454 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Allocating load generator [0] on [localhost]
2020-01-24 11:12:29,454 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:29,456 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Allocating load generator [1] on [localhost]
2020-01-24 11:12:29,457 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:29,459 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Allocating load generator [2] on [localhost]
2020-01-24 11:12:29,460 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:29,462 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Allocating load generator [3] on [localhost]
2020-01-24 11:12:29,533 ActorAddr-(T|:37979)/PID:79 esrally.actor INFO LoadGenerator[0] is about to start.
2020-01-24 11:12:29,535 ActorAddr-(T|:37979)/PID:79 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60}]
2020-01-24 11:12:29,535 ActorAddr-(T|:37979)/PID:79 esrally.client INFO SSL support: off
2020-01-24 11:12:29,535 ActorAddr-(T|:37979)/PID:79 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:29,536 ActorAddr-(T|:37979)/PID:79 esrally.client INFO HTTP compression: off
2020-01-24 11:12:29,538 ActorAddr-(T|:37979)/PID:79 esrally.actor INFO LoadGenerator[0] reached join point [JoinPoint(0)].
2020-01-24 11:12:29,539 ActorAddr-(T|:44693)/PID:81 esrally.actor INFO LoadGenerator[2] is about to start.
2020-01-24 11:12:29,542 ActorAddr-(T|:44693)/PID:81 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60}]
2020-01-24 11:12:29,542 ActorAddr-(T|:44693)/PID:81 esrally.client INFO SSL support: off
2020-01-24 11:12:29,542 ActorAddr-(T|:44693)/PID:81 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:29,542 ActorAddr-(T|:44693)/PID:81 esrally.client INFO HTTP compression: off
2020-01-24 11:12:29,545 ActorAddr-(T|:44693)/PID:81 esrally.actor INFO LoadGenerator[2] reached join point [JoinPoint(0)].
2020-01-24 11:12:29,547 ActorAddr-(T|:41267)/PID:80 esrally.actor INFO LoadGenerator[1] is about to start.
2020-01-24 11:12:29,463 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:29,549 ActorAddr-(T|:41267)/PID:80 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60}]
2020-01-24 11:12:29,549 ActorAddr-(T|:41267)/PID:80 esrally.client INFO SSL support: off
2020-01-24 11:12:29,549 ActorAddr-(T|:41267)/PID:80 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:29,549 ActorAddr-(T|:41267)/PID:80 esrally.client INFO HTTP compression: off
2020-01-24 11:12:29,552 ActorAddr-(T|:41267)/PID:80 esrally.actor INFO LoadGenerator[1] reached join point [JoinPoint(0)].
2020-01-24 11:12:29,555 ActorAddr-(T|:33293)/PID:83 esrally.actor INFO LoadGenerator[4] is about to start.
2020-01-24 11:12:29,560 ActorAddr-(T|:33753)/PID:85 esrally.actor INFO LoadGenerator[6] is about to start.
2020-01-24 11:12:29,557 ActorAddr-(T|:33293)/PID:83 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60}]
2020-01-24 11:12:29,562 ActorAddr-(T|:33753)/PID:85 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60}]
2020-01-24 11:12:29,563 ActorAddr-(T|:33753)/PID:85 esrally.client INFO SSL support: off
2020-01-24 11:12:29,566 ActorAddr-(T|:43351)/PID:84 esrally.actor INFO LoadGenerator[5] is about to start.
2020-01-24 11:12:29,465 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Allocating load generator [4] on [localhost]
2020-01-24 11:12:29,558 ActorAddr-(T|:33293)/PID:83 esrally.client INFO SSL support: off
2020-01-24 11:12:29,563 ActorAddr-(T|:33753)/PID:85 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:29,572 ActorAddr-(T|:44609)/PID:82 esrally.actor INFO LoadGenerator[3] is about to start.
2020-01-24 11:12:29,569 ActorAddr-(T|:43351)/PID:84 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60}]
2020-01-24 11:12:29,558 ActorAddr-(T|:33293)/PID:83 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:29,563 ActorAddr-(T|:33753)/PID:85 esrally.client INFO HTTP compression: off
2020-01-24 11:12:29,575 ActorAddr-(T|:44609)/PID:82 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60}]
2020-01-24 11:12:29,569 ActorAddr-(T|:43351)/PID:84 esrally.client INFO SSL support: off
2020-01-24 11:12:29,558 ActorAddr-(T|:33293)/PID:83 esrally.client INFO HTTP compression: off
2020-01-24 11:12:29,566 ActorAddr-(T|:33753)/PID:85 esrally.actor INFO LoadGenerator[6] reached join point [JoinPoint(0)].
2020-01-24 11:12:29,575 ActorAddr-(T|:44609)/PID:82 esrally.client INFO SSL support: off
2020-01-24 11:12:29,569 ActorAddr-(T|:43351)/PID:84 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:29,561 ActorAddr-(T|:33293)/PID:83 esrally.actor INFO LoadGenerator[4] reached join point [JoinPoint(0)].
2020-01-24 11:12:29,466 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:29,575 ActorAddr-(T|:44609)/PID:82 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:29,569 ActorAddr-(T|:43351)/PID:84 esrally.client INFO HTTP compression: off
2020-01-24 11:12:29,575 ActorAddr-(T|:44609)/PID:82 esrally.client INFO HTTP compression: off
2020-01-24 11:12:29,572 ActorAddr-(T|:43351)/PID:84 esrally.actor INFO LoadGenerator[5] reached join point [JoinPoint(0)].
2020-01-24 11:12:29,578 ActorAddr-(T|:44609)/PID:82 esrally.actor INFO LoadGenerator[3] reached join point [JoinPoint(0)].
2020-01-24 11:12:29,578 ActorAddr-(T|:46087)/PID:86 esrally.actor INFO LoadGenerator[7] is about to start.
2020-01-24 11:12:29,468 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Allocating load generator [5] on [localhost]
2020-01-24 11:12:29,580 ActorAddr-(T|:46087)/PID:86 esrally.client INFO Creating ES client connected to [{'host': 'esmaster', 'port': 9200}, {'host': 'esslave1', 'port': 9200}, {'host': 'esslave2', 'port': 9200}] with options [{'timeout': 60}]
2020-01-24 11:12:29,581 ActorAddr-(T|:46087)/PID:86 esrally.client INFO SSL support: off
2020-01-24 11:12:29,581 ActorAddr-(T|:46087)/PID:86 esrally.client INFO HTTP basic authentication: off
2020-01-24 11:12:29,581 ActorAddr-(T|:46087)/PID:86 esrally.client INFO HTTP compression: off
2020-01-24 11:12:29,469 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:29,590 ActorAddr-(T|:46087)/PID:86 esrally.actor INFO LoadGenerator[7] reached join point [JoinPoint(0)].
2020-01-24 11:12:29,471 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Allocating load generator [6] on [localhost]
2020-01-24 11:12:29,479 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:29,481 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Allocating load generator [7] on [localhost]
2020-01-24 11:12:29,482 ActorAddr-(T|:38849)/PID:77 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 7, 3, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1579864343952'}] match requirements [{'coordinator': True}].
2020-01-24 11:12:29,602 ActorAddr-(T|:45103)/PID:12 esrally.actor INFO Task has finished.
2020-01-24 11:12:29,496 ActorAddr-(T|:38849)/PID:77 esrally.driver.driver INFO Starting load generator [0].
2020-01-24 11:12:29,603 ActorAddr-(T|:45103)/PID:12 esrally.actor INFO Bulk adding request metrics to metrics store.
